EmployeeName,Department,JobTitle,Salary
Brian Yang,Clinical Dept,Sports administrator,40860
Javier Johnson,Haematologist Dept,Engineering geologist,116820
Lance Hoffman,Agricultural Dept,Sports administrator,77194
Jerry Ramirez,Haematologist Dept,Accounting technician,84131
Caitlin Henderson,Haematologist Dept,Health physicist,107221
Tyler Rogers,Financial Dept,Chief Executive Officer,40769
Ian Cooper,Clinical Dept,"Geneticist, molecular",104925
Monica Herrera,Agricultural Dept,Multimedia specialist,45311
Edward Fuller,Clinical Dept,Medical illustrator,93707
Michele Williams,Agricultural Dept,Estate agent,68693
Victoria Wyatt,Financial Dept,Chiropractor,65658
Jesse Flowers,Agricultural Dept,"Designer, textile",58431
Daniel Adams,Clinical Dept,Building surveyor,42747
Carolyn Daniel,Haematologist Dept,"Development worker, community",107435
Devin Schaefer,Clinical Dept,"Surveyor, hydrographic",71551
Frederick Tate,Environmental Dept,Banker,51394
Andrew Stewart,Financial Dept,"Geologist, wellsite",43890
Thomas Bradley,Financial Dept,International aid/development worker,50627
Jonathan Wilkerson,Environmental Dept,Proofreader,113969
Charles Mcgee,Agricultural Dept,Solicitor,116552
